=== Bump-family DE Ablation ===
popsize=15 maxiter=20 seed=42
output=results_bump_opt_baseline

[247] AEP=5560.4 feas=True best=5566.1 (37s)
[248] AEP=5564.9 feas=False best=5566.1 (37s)
[249] AEP=5553.6 feas=True best=5566.1 (37s)
[250] AEP=5552.5 feas=True best=5566.1 (37s)
[251] AEP=5560.8 feas=True best=5566.1 (37s)
[252] AEP=5562.3 feas=True best=5566.1 (36s)
[253] AEP=5563.7 feas=True best=5566.1 (37s)
[254] AEP=5560.9 feas=True best=5566.1 (36s)
[255] AEP=5558.8 feas=False best=5566.1 (36s)
[256] AEP=5562.3 feas=True best=5566.1 (37s)
differential_evolution step 16: f(x)= -5566.05
[257] AEP=5561.0 feas=False best=5566.1 (37s)
[258] AEP=5559.8 feas=True best=5566.1 (37s)
[259] AEP=5546.7 feas=True best=5566.1 (37s)
[260] AEP=5563.7 feas=True best=5566.1 (36s)
[261] AEP=5560.8 feas=True best=5566.1 (37s)
[262] AEP=5560.0 feas=True best=5566.1 (37s)
[263] AEP=5561.5 feas=True best=5566.1 (37s)
[264] AEP=5554.7 feas=True best=5566.1 (37s)
[265] AEP=5564.6 feas=True best=5566.1 (37s)
[266] AEP=5558.2 feas=False best=5566.1 (37s)
[267] AEP=5559.9 feas=True best=5566.1 (37s)
[268] AEP=5558.0 feas=False best=5566.1 (37s)
[269] AEP=5558.4 feas=True best=5566.1 (37s)
[270] AEP=5561.9 feas=True best=5566.1 (37s)
[271] AEP=5535.0 feas=True best=5566.1 (38s)
differential_evolution step 17: f(x)= -5566.05
[272] AEP=5559.1 feas=True best=5566.1 (37s)
[273] AEP=5558.2 feas=False best=5566.1 (37s)
[274] AEP=5561.4 feas=True best=5566.1 (37s)
[275] AEP=5559.4 feas=True best=5566.1 (37s)
[276] AEP=5560.3 feas=True best=5566.1 (36s)
[277] AEP=5560.9 feas=True best=5566.1 (37s)
[278] AEP=5560.9 feas=True best=5566.1 (37s)
[279] AEP=5562.2 feas=True best=5566.1 (37s)
[280] AEP=5560.7 feas=True best=5566.1 (37s)
[281] AEP=5559.6 feas=True best=5566.1 (36s)
[282] AEP=5565.4 feas=True best=5566.1 (36s)
[283] AEP=5562.5 feas=True best=5566.1 (37s)
[284] AEP=5557.1 feas=True best=5566.1 (37s)
[285] AEP=5561.6 feas=True best=5566.1 (36s)
[286] AEP=5563.4 feas=True best=5566.1 (36s)
differential_evolution step 18: f(x)= -5566.05
[287] AEP=5566.3 feas=True best=5566.3 (37s)
[288] AEP=5560.9 feas=True best=5566.3 (37s)
[289] AEP=5561.9 feas=True best=5566.3 (37s)
[290] AEP=5562.1 feas=True best=5566.3 (36s)
[291] AEP=5553.6 feas=True best=5566.3 (36s)
[292] AEP=5559.5 feas=True best=5566.3 (37s)
[293] AEP=5563.1 feas=True best=5566.3 (37s)
[294] AEP=5556.4 feas=True best=5566.3 (36s)
[295] AEP=5561.6 feas=True best=5566.3 (37s)
[296] AEP=5558.0 feas=True best=5566.3 (37s)
[297] AEP=5562.7 feas=True best=5566.3 (36s)
[298] AEP=5560.3 feas=True best=5566.3 (36s)
[299] AEP=5560.6 feas=True best=5566.3 (36s)
[300] AEP=5557.3 feas=True best=5566.3 (37s)
[301] AEP=5559.7 feas=True best=5566.3 (37s)
differential_evolution step 19: f(x)= -5566.26
[302] AEP=5557.8 feas=True best=5566.3 (37s)
[303] AEP=5560.7 feas=True best=5566.3 (36s)
[304] AEP=5563.1 feas=True best=5566.3 (36s)
[305] AEP=5535.1 feas=True best=5566.3 (37s)
[306] AEP=5564.4 feas=True best=5566.3 (37s)
[307] AEP=5555.4 feas=True best=5566.3 (36s)
[308] AEP=5560.6 feas=True best=5566.3 (37s)
[309] AEP=5543.6 feas=True best=5566.3 (37s)
[310] AEP=5560.5 feas=True best=5566.3 (37s)
[311] AEP=5561.0 feas=True best=5566.3 (36s)
[312] AEP=5559.4 feas=True best=5566.3 (36s)
[313] AEP=5560.1 feas=True best=5566.3 (37s)
[314] AEP=5560.9 feas=True best=5566.3 (37s)
[315] AEP=5556.2 feas=True best=5566.3 (37s)
[316] AEP=5562.4 feas=True best=5566.3 (37s)
differential_evolution step 20: f(x)= -5566.26

=== OPTIMIZATION DONE ===
Best train AEP: 5566.3
Best params: {'K': 4.788904698072376, 'logM': 2.5444236095801482, 'W': 0.031100666821230236, 'A1': 0.33306582948262714, 'A2': 0.3144610739896076, 'c1': 0.7118630839032932, 'c2': 0.4830074661356639, 'w1': 0.0357338045274541, 'w2': 0.13157290561309115, 'C': 4.259958160161949, 'D': 12.487427931615652, 'B1': 0.11602857790365473, 'B2': 0.8665970021316327}
Total evaluations: 316

=== ROWP backfill ===
  eval 1: rowp=4266.7 feas=True
  eval 2: rowp=4266.7 feas=True
  eval 3: rowp=4223.4 feas=False
  eval 4: rowp=4252.7 feas=True
  eval 5: rowp=4260.6 feas=True
  eval 6: rowp=4257.1 feas=True
  eval 7: rowp=4248.8 feas=True
  eval 8: rowp=4267.5 feas=True
  eval 9: rowp=4264.3 feas=True
  eval 10: rowp=4247.1 feas=True
  eval 11: rowp=4254.6 feas=True
  eval 12: rowp=4264.3 feas=False
  eval 13: rowp=4254.1 feas=False
  eval 14: rowp=4265.2 feas=True
  eval 15: rowp=4257.2 feas=True
  eval 16: rowp=4252.3 feas=True
  eval 17: rowp=4259.1 feas=True
  eval 18: rowp=4249.7 feas=True
  eval 19: rowp=4256.9 feas=True
  eval 20: rowp=4264.8 feas=True
  eval 21: rowp=4263.3 feas=True
  eval 22: rowp=4260.3 feas=True
  eval 23: rowp=4265.3 feas=True
  eval 24: rowp=4266.8 feas=True
  eval 25: rowp=4248.6 feas=True
  eval 26: rowp=4248.5 feas=True
  eval 27: rowp=4258.6 feas=True
  eval 28: rowp=4261.7 feas=True
  eval 29: rowp=4263.2 feas=True
  eval 30: rowp=4261.1 feas=True
  eval 31: rowp=4237.6 feas=True
  eval 32: rowp=4262.0 feas=True
  eval 33: rowp=4260.0 feas=True
  eval 34: rowp=4261.4 feas=True
  eval 35: rowp=4262.2 feas=True
  eval 36: rowp=4263.3 feas=False
  eval 37: rowp=4257.2 feas=True
  eval 38: rowp=4262.6 feas=True
  eval 39: rowp=4267.1 feas=True
  eval 40: rowp=4252.5 feas=True
  eval 41: rowp=4267.0 feas=True
  eval 42: rowp=4262.0 feas=True
  eval 43: rowp=4261.0 feas=True
  eval 44: rowp=4268.6 feas=True
  eval 45: rowp=4264.7 feas=True
  eval 46: rowp=4260.3 feas=True
  eval 47: rowp=4269.8 feas=False
  eval 48: rowp=4268.6 feas=True
